// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/" /p:OutDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/publish/" in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1
// command took 0.85 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/" /p:OutDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/publish/" --output "/Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0/" in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1
// command took 4.87 sec and exited with 0
// ***** Done, took 00:00:05 (5.86 sec)   *****
// Found 3 benchmarks:
//   AllocationBenchmarks.ValidateStringWithMultipleRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   AllocationBenchmarks.ValidateIntWithMinMax: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   AllocationBenchmarks.ValidateStringWithManyRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

// **************************
// Benchmark: AllocationBenchmarks.ValidateStringWithMultipleRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Zeta.Benchmarks-ShortRun-1.dll --anonymousPipes 131 132 --benchmarkName Zeta.Benchmarks.AllocationBenchmarks.ValidateStringWithMultipleRules --job ShortRun --benchmarkId 0 in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadActual  19: 8388608 op, 8068584.00 ns, 0.9619 ns/op
OverheadActual  20: 8388608 op, 8106542.00 ns, 0.9664 ns/op

WorkloadWarmup   1: 8388608 op, 841715208.00 ns, 100.3403 ns/op
WorkloadWarmup   2: 8388608 op, 842374833.00 ns, 100.4189 ns/op
WorkloadWarmup   3: 8388608 op, 843227375.00 ns, 100.5205 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 846464292.00 ns, 100.9064 ns/op
WorkloadActual   2: 8388608 op, 842434959.00 ns, 100.4261 ns/op
WorkloadActual   3: 8388608 op, 844569750.00 ns, 100.6806 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 830082813.00 ns, 98.9536 ns/op
WorkloadResult   2: 8388608 op, 826053480.00 ns, 98.4732 ns/op
WorkloadResult   3: 8388608 op, 828188271.00 ns, 98.7277 ns/op
// GC:  0 0 0 0 8388608
// Threading:  0 0 8388608

// AfterAll
// Benchmark Process 81868 has exited with code 0.

Mean = 98.718 ns, StdErr = 0.139 ns (0.14%), N = 3, StdDev = 0.240 ns
Min = 98.473 ns, Q1 = 98.600 ns, Median = 98.728 ns, Q3 = 98.841 ns, Max = 98.954 ns
IQR = 0.240 ns, LowerFence = 98.240 ns, UpperFence = 99.201 ns
ConfidenceInterval = [94.334 ns; 103.102 ns] (CI 99.9%), Margin = 4.384 ns (4.44% of Mean)
Skewness = -0.04, Kurtosis = 0.67, MValue = 2

// ** Remained 6 (85.7%) benchmark(s) to run. Estimated finish 2026-07-02 21:19 (0h 0m from now) **
// **************************
// Benchmark: AllocationBenchmarks.ValidateIntWithMinMax: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Zeta.Benchmarks-ShortRun-1.dll --anonymousPipes 131 132 --benchmarkName Zeta.Benchmarks.AllocationBenchmarks.ValidateIntWithMinMax --job ShortRun --benchmarkId 1 in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 82500.00 ns, 82.5000 us/op
WorkloadJitting  1: 1 op, 2729459.00 ns, 2.7295 ms/op

OverheadJitting  2: 16 op, 260792.00 ns, 16.2995 us/op
WorkloadJitting  2: 16 op, 215084.00 ns, 13.4428 us/op

WorkloadPilot    1: 16 op, 8667.00 ns, 541.6875 ns/op
WorkloadPilot    2: 32 op, 12625.00 ns, 394.5313 ns/op
WorkloadPilot    3: 64 op, 24167.00 ns, 377.6094 ns/op
WorkloadPilot    4: 128 op, 40708.00 ns, 318.0313 ns/op
WorkloadPilot    5: 256 op, 71500.00 ns, 279.2969 ns/op
WorkloadPilot    6: 512 op, 135458.00 ns, 264.5664 ns/op
WorkloadPilot    7: 1024 op, 262708.00 ns, 256.5508 ns/op
WorkloadPilot    8: 2048 op, 515208.00 ns, 251.5664 ns/op
WorkloadPilot    9: 4096 op, 1080958.00 ns, 263.9058 ns/op
WorkloadPilot   10: 8192 op, 2282542.00 ns, 278.6306 ns/op
WorkloadPilot   11: 16384 op, 4389834.00 ns, 267.9342 ns/op
WorkloadPilot   12: 32768 op, 8777541.00 ns, 267.8693 ns/op
WorkloadPilot   13: 65536 op, 17169500.00 ns, 261.9858 ns/op
WorkloadPilot   14: 131072 op, 33736500.00 ns, 257.3891 ns/op
WorkloadPilot   15: 262144 op, 68495709.00 ns, 261.2904 ns/op
WorkloadPilot   16: 524288 op, 39011500.00 ns, 74.4085 ns/op
WorkloadPilot   17: 1048576 op, 41833541.00 ns, 39.8956 ns/op
WorkloadPilot   18: 2097152 op, 84154916.00 ns, 40.1282 ns/op
WorkloadPilot   19: 4194304 op, 169416291.00 ns, 40.3920 ns/op
WorkloadPilot   20: 8388608 op, 336404000.00 ns, 40.1025 ns/op
WorkloadPilot   21: 16777216 op, 674335166.00 ns, 40.1935 ns/op

OverheadWarmup   1: 16777216 op, 33052000.00 ns, 1.9701 ns/op
OverheadWarmup   2: 16777216 op, 33149208.00 ns, 1.9758 ns/op
OverheadWarmup   3: 16777216 op, 33306958.00 ns, 1.9852 ns/op
OverheadWarmup   4: 16777216 op, 34250541.00 ns, 2.0415 ns/op
OverheadWarmup   5: 16777216 op, 33842791.00 ns, 2.0172 ns/op
OverheadWarmup   6: 16777216 op, 33315417.00 ns, 1.9858 ns/op
OverheadWarmup   7: 16777216 op, 33412916.00 ns, 1.9916 ns/op
OverheadWarmup   8: 16777216 op, 33072208.00 ns, 1.9713 ns/op

OverheadActual   1: 16777216 op, 33044959.00 ns, 1.9696 ns/op
OverheadActual   2: 16777216 op, 33150000.00 ns, 1.9759 ns/op
OverheadActual   3: 16777216 op, 33156917.00 ns, 1.9763 ns/op
OverheadActual   4: 16777216 op, 33177750.00 ns, 1.9775 ns/op
OverheadActual   5: 16777216 op, 32783500.00 ns, 1.9540 ns/op
OverheadActual   6: 16777216 op, 33339000.00 ns, 1.9872 ns/op
OverheadActual   7: 16777216 op, 33181083.00 ns, 1.9777 ns/op
OverheadActual   8: 16777216 op, 18417792.00 ns, 1.0978 ns/op
OverheadActual   9: 16777216 op, 16703041.00 ns, 0.9956 ns/op
OverheadActual  10: 16777216 op, 16633125.00 ns, 0.9914 ns/op
OverheadActual  11: 16777216 op, 16603834.00 ns, 0.9897 ns/op
OverheadActual  12: 16777216 op, 16870959.00 ns, 1.0056 ns/op
OverheadActual  13: 16777216 op, 16916834.00 ns, 1.0083 ns/op
OverheadActual  14: 16777216 op, 16866500.00 ns, 1.0053 ns/op
OverheadActual  15: 16777216 op, 16585333.00 ns, 0.9886 ns/op
OverheadActual  16: 16777216 op, 16650708.00 ns, 0.9925 ns/op
OverheadActual  17: 16777216 op, 17186458.00 ns, 1.0244 ns/op
OverheadActual  18: 16777216 op, 16791250.00 ns, 1.0008 ns/op
OverheadActual  19: 16777216 op, 16729625.00 ns, 0.9972 ns/op
OverheadActual  20: 16777216 op, 16798500.00 ns, 1.0013 ns/op

WorkloadWarmup   1: 16777216 op, 675185167.00 ns, 40.2442 ns/op
WorkloadWarmup   2: 16777216 op, 676573583.00 ns, 40.3269 ns/op
WorkloadWarmup   3: 16777216 op, 674141000.00 ns, 40.1819 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 672973084.00 ns, 40.1123 ns/op
WorkloadActual   2: 16777216 op, 672957500.00 ns, 40.1114 ns/op
WorkloadActual   3: 16777216 op, 676153459.00 ns, 40.3019 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 656079187.50 ns, 39.1054 ns/op
WorkloadResult   2: 16777216 op, 656063603.50 ns, 39.1044 ns/op
WorkloadResult   3: 16777216 op, 659259562.50 ns, 39.2949 ns/op
// GC:  64 0 0 536870912 16777216
// Threading:  0 0 16777216

// AfterAll
// Benchmark Process 82081 has exited with code 0.

Mean = 39.168 ns, StdErr = 0.063 ns (0.16%), N = 3, StdDev = 0.110 ns
Min = 39.104 ns, Q1 = 39.105 ns, Median = 39.105 ns, Q3 = 39.200 ns, Max = 39.295 ns
IQR = 0.095 ns, LowerFence = 38.962 ns, UpperFence = 39.343 ns
ConfidenceInterval = [37.167 ns; 41.170 ns] (CI 99.9%), Margin = 2.002 ns (5.11% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// ** Remained 5 (71.4%) benchmark(s) to run. Estimated finish 2026-07-02 21:19 (0h 0m from now) **
// **************************
// Benchmark: AllocationBenchmarks.ValidateStringWithManyRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Zeta.Benchmarks-ShortRun-1.dll --anonymousPipes 131 132 --benchmarkName Zeta.Benchmarks.AllocationBenchmarks.ValidateStringWithManyRules --job ShortRun --benchmarkId 2 in /Users/personberg/Code/zeta/benchmarks/Zeta.Benchmarks/bin/Release/net10.0/Zeta.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 87875.00 ns, 87.8750 us/op
WorkloadJitting  1: 1 op, 6822583.00 ns, 6.8226 ms/op

OverheadJitting  2: 16 op, 222709.00 ns, 13.9193 us/op
WorkloadJitting  2: 16 op, 229166.00 ns, 14.3229 us/op

WorkloadPilot    1: 16 op, 16833.00 ns, 1.0521 us/op
WorkloadPilot    2: 32 op, 24625.00 ns, 769.5313 ns/op
WorkloadPilot    3: 64 op, 40333.00 ns, 630.2031 ns/op
WorkloadPilot    4: 128 op, 83125.00 ns, 649.4141 ns/op
WorkloadPilot    5: 256 op, 147417.00 ns, 575.8477 ns/op
WorkloadPilot    6: 512 op, 266041.00 ns, 519.6113 ns/op
WorkloadPilot    7: 1024 op, 555583.00 ns, 542.5615 ns/op
WorkloadPilot    8: 2048 op, 1147041.00 ns, 560.0786 ns/op
WorkloadPilot    9: 4096 op, 2238833.00 ns, 546.5901 ns/op
WorkloadPilot   10: 8192 op, 4498375.00 ns, 549.1180 ns/op
WorkloadPilot   11: 16384 op, 8808542.00 ns, 537.6307 ns/op
WorkloadPilot   12: 32768 op, 17097833.00 ns, 521.7845 ns/op
WorkloadPilot   13: 65536 op, 34648000.00 ns, 528.6865 ns/op
WorkloadPilot   14: 131072 op, 69144417.00 ns, 527.5300 ns/op
WorkloadPilot   15: 262144 op, 56734500.00 ns, 216.4249 ns/op
WorkloadPilot   16: 524288 op, 68286042.00 ns, 130.2453 ns/op
WorkloadPilot   17: 1048576 op, 137037958.00 ns, 130.6896 ns/op
WorkloadPilot   18: 2097152 op, 276064709.00 ns, 131.6379 ns/op
WorkloadPilot   19: 4194304 op, 548063917.00 ns, 130.6686 ns/op

OverheadWarmup   1: 4194304 op, 8258542.00 ns, 1.9690 ns/op
OverheadWarmup   2: 4194304 op, 8278542.00 ns, 1.9738 ns/op
OverheadWarmup   3: 4194304 op, 8204625.00 ns, 1.9561 ns/op
OverheadWarmup   4: 4194304 op, 8142666.00 ns, 1.9414 ns/op
OverheadWarmup   5: 4194304 op, 8192167.00 ns, 1.9532 ns/op
OverheadWarmup   6: 4194304 op, 8144708.00 ns, 1.9418 ns/op

OverheadActual   1: 4194304 op, 8143709.00 ns, 1.9416 ns/op
OverheadActual   2: 4194304 op, 8170292.00 ns, 1.9479 ns/op
OverheadActual   3: 4194304 op, 8138625.00 ns, 1.9404 ns/op
OverheadActual   4: 4194304 op, 8156792.00 ns, 1.9447 ns/op
OverheadActual   5: 4194304 op, 8081958.00 ns, 1.9269 ns/op
OverheadActual   6: 4194304 op, 8302875.00 ns, 1.9796 ns/op
OverheadActual   7: 4194304 op, 8277042.00 ns, 1.9734 ns/op
OverheadActual   8: 4194304 op, 8109375.00 ns, 1.9334 ns/op
OverheadActual   9: 4194304 op, 8208917.00 ns, 1.9572 ns/op
OverheadActual  10: 4194304 op, 8201583.00 ns, 1.9554 ns/op
OverheadActual  11: 4194304 op, 8190458.00 ns, 1.9528 ns/op
OverheadActual  12: 4194304 op, 8442875.00 ns, 2.0129 ns/op
OverheadActual  13: 4194304 op, 8306791.00 ns, 1.9805 ns/op
OverheadActual  14: 4194304 op, 8392458.00 ns, 2.0009 ns/op
OverheadActual  15: 4194304 op, 8250958.00 ns, 1.9672 ns/op

WorkloadWarmup   1: 4194304 op, 551049875.00 ns, 131.3805 ns/op
WorkloadWarmup   2: 4194304 op, 547734709.00 ns, 130.5901 ns/op
WorkloadWarmup   3: 4194304 op, 548392542.00 ns, 130.7470 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 547957084.00 ns, 130.6431 ns/op
WorkloadActual   2: 4194304 op, 550649458.00 ns, 131.2851 ns/op
WorkloadActual   3: 4194304 op, 547537666.00 ns, 130.5432 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 539755501.00 ns, 128.6877 ns/op
WorkloadResult   2: 4194304 op, 542447875.00 ns, 129.3297 ns/op
WorkloadResult   3: 4194304 op, 539336083.00 ns, 128.5877 ns/op
// GC:  0 0 0 0 4194304
// Threading:  0 0 4194304

// AfterAll
// Benchmark Process 82237 has exited with code 0.

Mean = 128.868 ns, StdErr = 0.232 ns (0.18%), N = 3, StdDev = 0.403 ns
Min = 128.588 ns, Q1 = 128.638 ns, Median = 128.688 ns, Q3 = 129.009 ns, Max = 129.330 ns
IQR = 0.371 ns, LowerFence = 128.081 ns, UpperFence = 129.565 ns
ConfidenceInterval = [121.524 ns; 136.213 ns] (CI 99.9%), Margin = 7.345 ns (5.70% of Mean)
Skewness = 0.36, Kurtosis = 0.67, MValue = 2

// ** Remained 4 (57.1%) benchmark(s) to run. Estimated finish 2026-07-02 21:19 (0h 0m from now) **
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/Zeta.Benchmarks.AllocationBenchmarks-report.csv
  BenchmarkDotNet.Artifacts/results/Zeta.Benchmarks.AllocationBenchmarks-report-github.md
  BenchmarkDotNet.Artifacts/results/Zeta.Benchmarks.AllocationBenchmarks-report.html

// * Detailed results *
AllocationBenchmarks.ValidateStringWithMultipleRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
Runtime = .NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a; GC = Concurrent Workstation
Mean = 98.718 ns, StdErr = 0.139 ns (0.14%), N = 3, StdDev = 0.240 ns
Min = 98.473 ns, Q1 = 98.600 ns, Median = 98.728 ns, Q3 = 98.841 ns, Max = 98.954 ns
IQR = 0.240 ns, LowerFence = 98.240 ns, UpperFence = 99.201 ns
ConfidenceInterval = [94.334 ns; 103.102 ns] (CI 99.9%), Margin = 4.384 ns (4.44% of Mean)
Skewness = -0.04, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[98.255 ns ; 99.172 ns) | @@@
---------------------------------------------------

AllocationBenchmarks.ValidateIntWithMinMax: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
Runtime = .NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a; GC = Concurrent Workstation
Mean = 39.168 ns, StdErr = 0.063 ns (0.16%), N = 3, StdDev = 0.110 ns
Min = 39.104 ns, Q1 = 39.105 ns, Median = 39.105 ns, Q3 = 39.200 ns, Max = 39.295 ns
IQR = 0.095 ns, LowerFence = 38.962 ns, UpperFence = 39.343 ns
ConfidenceInterval = [37.167 ns; 41.170 ns] (CI 99.9%), Margin = 2.002 ns (5.11% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[39.100 ns ; 39.300 ns) | @@@
---------------------------------------------------

AllocationBenchmarks.ValidateStringWithManyRules: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
Runtime = .NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a; GC = Concurrent Workstation
Mean = 128.868 ns, StdErr = 0.232 ns (0.18%), N = 3, StdDev = 0.403 ns
Min = 128.588 ns, Q1 = 128.638 ns, Median = 128.688 ns, Q3 = 129.009 ns, Max = 129.330 ns
IQR = 0.371 ns, LowerFence = 128.081 ns, UpperFence = 129.565 ns
ConfidenceInterval = [121.524 ns; 136.213 ns] (CI 99.9%), Margin = 7.345 ns (5.70% of Mean)
Skewness = 0.36, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[128.221 ns ; 129.696 ns) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet v0.15.8, macOS Tahoe 26.2 (25C56) [Darwin 25.2.0]
Apple M2 Pro, 1 CPU, 12 logical and 12 physical cores
.NET SDK 10.0.300
  [Host]   : .NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a
  ShortRun : .NET 10.0.8 (10.0.8, 10.0.826.23019), Arm64 RyuJIT armv8.0-a

Job=ShortRun  IterationCount=3  LaunchCount=1  
WarmupCount=3  

| Method                          | Mean      | Error    | StdDev   | Gen0   | Allocated |
